feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
tipo_vivienda_APARTMENT,37.902076192526145,197.1018845550253,0.0,0.0,397.63429930852726,0.0,-208.12391834589653
ciudad_Lake Clarke Shores,33.958169480320066,41.5927084687092,84.15805323451059,0.0,85.63279416708974,0.0,0.0
ciudad_Tampa,28.14314655418275,826.2923419473273,1195.5550689197844,-566.3483583624475,-1011.368444266729,-242.58825855655596,765.4657250368618
ciudad_Lake City,25.051175526424778,534.4771782072113,962.2178291986347,-657.0225825069356,-259.8757822387852,0.0,79.93641317920992
ciudad_Anna Maria,21.024932286143304,1394.849396938663,2651.840551024128,-1174.2067411124008,-580.8094653908047,182.28545034991112,-973.9851334401174
ciudad_Montverde,20.31473454468651,298.7210555890362,521.4651670526364,-419.89149432920385,0.0,0.0,0.0
ciudad_Weston,13.330432657978964,504.4093835789384,-763.7973021392245,0.0,830.4494654291193,0.0,0.0
unidades_area_lote_Acres,11.585119766381103,19.68245050156933,5.288999272568617,0.0,49.765890697424766,-5.612035647733137,8.482744509645272
ciudad_2dgm8z Inlet Beach,10.366125421400648,20.732250842801292,0.0,0.0,0.0,51.83062710700324,0.0
ciudad_Tequesta,8.38763030564878,16.775260611297558,41.93815152824391,0.0,0.0,0.0,0.0
ciudad_Pensacola,7.590658959676512,15.181317919353024,0.0,0.0,0.0,0.0,37.95329479838256
ciudad_Pt Saint Lucie,7.029003025987185,14.058006051974372,0.0,35.14501512993593,0.0,0.0,0.0
ciudad_Key West,5.415290533786174,10.830581067572348,27.07645266893087,0.0,0.0,0.0,0.0
ciudad_Lake Placid,3.507390651991591,7.014781303983181,0.0,0.0,17.536953259957954,0.0,0.0
ciudad_Davie,0.42129387443419547,0.8425877488683909,0.0,0.0,0.0,0.0,2.1064693721709773
extracted_dimension_Townhouse,0.30664516558172183,2.803314594690844,0.0,-0.2416422048700042,-3.4788888444309123,0.0,5.2537568772095256
ciudad_Monticello,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Earleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Edgewood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tipo_vivienda_LAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_St Teresa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_kissimmee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Port Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Howey In the Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Cudjoe Key,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Malabar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pt Richey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Lake Worth Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Pt Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciudad_Auburndale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
